ticker,datadate,fyear,at
AAPL,9/30/1999,1999,5161
AAPL,9/30/2000,2000,6803
AAPL,9/30/2001,2001,6021
AAPL,9/30/2002,2002,6298
AAPL,9/30/2003,2003,6815
AAPL,9/30/2004,2004,8050
AAPL,9/30/2005,2005,11551
AAPL,9/30/2006,2006,17205
AAPL,9/30/2007,2007,25347
AAPL,9/30/2008,2008,39572
AAPL,9/30/2009,2009,47501
AAPL,9/30/2010,2010,75183
AAPL,9/30/2011,2011,116371
AAPL,9/30/2012,2012,176064
AAPL,9/30/2013,2013,207000
AAPL,9/30/2014,2014,231839
AAPL,9/30/2015,2015,290479
AAPL,9/30/2016,2016,321686
AAPL,9/30/2017,2017,375319
AAPL,9/30/2018,2018,365725
AAPL,9/30/2019,2019,338516
AAPL,9/30/2020,2020,323888
AAPL,9/30/2021,2021,351002
AAPL,9/30/2022,2022,352755
AAPL,9/30/2023,2023,352583
